id,monday_id,campaign_name,company,status,budget,take_rate_pct,proposal_adjustments,seller_name,csm,list_builder,building_proposal_start,pending_approval_start,days_since_pending,risk_score,ai_insight,action_required,created_at,seller_sla,lb_sla,currency,proposal_delivery_date,audience_country,musical_genre,days_after_approved,Execution board start date
A904,904,"Kalisway ""CAN'T TELL ME NOTHING"" US Campaign",COLTURE,Declined,20000,,,Justin Nho,,Juan Val,2025-08-08,2025-09-04,,,,,2025-08-08,,,,2025-09-04,US,"Urbano, Urbano, Urbano, Urbano",0.00,2025-08-11
A873,873,"Myke Towers & Quevedo ""Soleao""",Warner Music Latina Inc.,Declined,40000,,,Steven Campos,,Juan Val,2025-08-01,2025-08-14,,,,,2025-08-01,,,,2025-08-14,"Latam, LATAM",reggaeton,0.00,2025-08-04
A930,930,Yatra & Belinda - Digital activation,KAMADAYA ENTERTAINMENT CORP.,Declined,11000,25,1,Steven Campos,Polina Andrieieva,"Genesis Martinez, valentina.semprun@influur.com",2025-10-21,2025-10-29,,,,,2025-10-21,,,,2025-10-29,Mex,,0.00,2025-10-24
A1138,1138,"TINI ""Una noche más""",Sony Music Mexico,Approved,5400,25,1,Steven Campos,Polina Andrieieva,Juan Val,2025-10-02,2025-10-08,,,,,2025-10-02,,,,,MX,POP,0.00,2025-10-06
A2990,2990,Kobi - Miami Music Video,Universal Music Latin,Approved,4938,,,Steven Campos,,camila.parra@influur.com,2025-04-28,2025-04-29,,,,,2025-04-28,,,,,"Miami, US LATIN",Reggaeton,0.00,2025-04-29
A2971,2971,"Ysrael Barajas ""Platica Con Cupido""",Sony Music Mexico,Approved,1500,,1,Polina Andrieieva,,,2025-04-28,2025-04-30,,,,,2025-04-28,,,,,MEX,Corridos,0.00,2025-04-30
A3061,3061,EMJAY X Adidas,Warner Music Mexico,Approved,3000,,,Steven Campos,,camila.parra@influur.com,2025-05-03,2025-05-06,,,,,2025-05-05,,,,,MEX,Urbano,0.00,2025-05-06
A3209,3209,"SOG, El Bogueto ""Pa’l Pi""",Warner Music Mexico,Approved,3000,,,Steven Campos,,,2025-05-07,2025-05-07,,,,,2025-05-07,,,,,"COL, MEX",Urbano,0.00,2025-05-07
A3029,3029,"Belinda ""Mirame Feliz"" Micros",Warner Music Mexico,Approved,3000,,,Steven Campos,,valentina.semprun@influur.com,2025-05-08,2025-05-08,,,,,2025-05-08,,,,,MEX,Pop,0.00,2025-05-08
A2989,2989,"Aitana ""6 de febrero""",Universal Music Latin,Approved,10000,,2,Steven Campos,,,2025-05-08,2025-05-09,,,,,2025-05-08,,,,,US LATIN,Pop,0.00,2025-05-09
A3188,3188,"Belinda & Xavi ""Mirame Feliz"" Macros",Warner Music Mexico,Approved,4000,,,Steven Campos,,Juan Val,2025-05-12,2025-05-12,,,,,2025-05-12,,,,,MEX,Corridos,0.00,2025-05-12
A3085,3085,"Justin Quiles ""Esto es Un Party""",XYZ,Approved,7374,,,Steven Campos,,camila.parra@influur.com,2025-05-14,2025-05-14,,,,,2025-05-14,,,,,ESP,Reggaeton,0.00,2025-05-14
A3032,3032,"Dennis, Luisa Sonza, Kenia Os ""Bate""","5020 Records, Sony Music",Approved,15000,,,Steven Campos,,"camila.parra@influur.com, Juan Val",2025-05-14,2025-05-15,,,,,2025-05-14,,,,,US LATIN,Urbano,0.00,2025-05-15
A3172,3172,"Alu Mix, Cachirula - Ñero Session 16",Warner Music Mexico,Approved,3100,,1,Steven Campos,,,2025-05-16,2025-05-20,,,,,2025-05-15,,,,,MEX,Urbano,0.00,2025-05-20
A3292,3292,Juliana Concierto - Bogota,Warner Music Mexico,Approved,2150,,,Steven Campos,,,2025-05-16,2025-05-20,,,,,2025-05-16,,,,,MEX,Pop,0.00,2025-05-20
A3360,3360,"Karina Sofia ""Mas Alto"" Micros",AR Solutions,Approved,1000,,,Steven Campos,,Genesis Martinez,2025-05-20,2025-05-20,,,,,2025-05-20,,,,,MEX,Balada,0.00,2025-05-20
A3362,3362,"Kapo ""Korazong"" Pre-Release",Sony Music Latin,Approved,20000,,1,Steven Campos,,valentina.semprun@influur.com,2025-05-21,2025-05-22,,,,,2025-05-21,,,,,"US LATIN, LATAM",Urbano,0.00,2025-05-22
A818,818,"Mora ""1000 Vidas""",XYZ,To Do,3300,,,Steven Campos,,Isabella Moreno,2025-05-22,2025-05-22,,,,,2025-05-22,,,,,MEX,,0.00,2025-05-22
A2992,2992,"Karol G ""Latina Foreva"" - Reviewers",Interscope Records,Approved,10000,,1,Steven Campos,,,2025-05-22,2025-05-26,,,,,2025-05-22,,,,,"US LATIN, LATAM",Reggaeton,0.00,2025-05-26
A3075,3075,"Taxi Orquesta ""Herido""",XYZ,Approved,1510,,,Steven Campos,,,2025-05-26,2025-05-26,,,,,2025-05-26,,,,,MEX,Cumbia,0.00,2025-05-26
A3374,3374,Jesse Joy - CDMX Activation,Warner Music Mexico,Approved,2076,,,Steven Campos,,valentina.semprun@influur.com,2025-05-27,2025-05-28,,,,,2025-05-27,,,,,MEX,Pop,0.00,2025-05-28
