Name,Status,List Builder,C. Manager,CSM,Seller,Execution Timeline - Start,Execution Timeline - End,Total Budget,Executed Amount,Executed Take Rate %,Company,# Influencers,# UGC,Internal Handbook,Live Report,Musical Genre,Audience Country,Números,Creative Hashtags,Influencers Budget,Sub-Campaign Budget,Take Rate %,Client Handbook,# Tiktoks,# IG Reels,# IG Posts,# IG Stories,# Youtube,# Streams (Twitch/Kick),Currency,POs/Invoice,# Execution Adjustments,Execution Adjustments Reasons,# Proposal Adjustments,Proposal Adjustments Reasons,PDF Presentation,Proposal,Music List Type,Last Updated,Deal Created Date,Proposal Board Start Date,Building Proposal Start Date,Pending Approval Start Date,Execution Board Start Date,Ongoing Start Date,Building Reports Start Date,Completed Date,Proposal Timeline - Start,Proposal Timeline - End,Subelementos LWT Status,# Posts,# Published,% Progress,Views,Engagement,CPM,CPE(mile),ER%,Seller ID,CSM ID,Hubspot ID,Campaign ID,US List URL,Creative URL,Brief URL,monday Doc v2
Tania Y Abraham “Oshun Yesá”,Recently Completed,Juan Val,Camila Pedroza,,Justin Nho,9/10/2025,9/26/2025,10000,7500,25%,Roc Nation,12,,https://docs.google.com/spreadsheets/d/1UC1cU2wBCDtJPlzK9T9PV9_kg3jzaX9Dz-krs7Nv33E/edit?usp=sharing,"influur | Tania Y Abraham ""Óshun Yesá"" - https://music.influur.com/promote/2446863f-6c52-448a-b1e9-d08f2be2ac51/share?token=-KdCMKPmLWk3nYeJJEIH8yJOyzK1zav7zQWcCmxF45k",Folklore,"US LAT, PR, RD, ESP, MEX",,,10000,,,https://docs.google.com/spreadsheets/d/1T9tg_bBSeBynUa8HlrYB3OOSTZZ29sbLCNq5M6YZtiY/edit?gid=595738786#gid=595738786,12,12,0,0,0,,USD,,,,,,Done,https://www.canva.com/design/DAGymMdVKu0/cWeelRcjAD6uVoM8VHPuuQ/edit?utm_content=DAGymMdVKu0&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Juan Meza Jan 29, 2026 10:50 AM",2025-09-10,2025-09-09,2025-09-10,2025-09-10,2025-09-10,2025-09-10,2025-09-29,,9/10/2025,9/10/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Declined, 9 - Declined, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",24,24,100%,4084984,195511,2.4,51,4.8,1003108766,,,5144,,,,
Sebastian Yatra “Viña Del Mar”,Recently Completed,,Pablo Balaguera,,Steven Campos,2/24/2025,3/10/2025,20000,14950,25.25%,Universal Music Latin,16,,https://docs.google.com/spreadsheets/d/1m2QICligftkPdHjEQGEyqT8Z2HRfGGc4TQy4cGZJ1Uw/edit?usp=sharing,influur | Sebastian Yatra - Viña del Mar - https://music.influur.com/promote/9ed189f8-8693-400e-8a81-30c3d05219be/share?token=gjDFhqhYvrRI3yCVp6LZkzVMnTG6vcDu8mr4DcrqNtw,Pop,"CH, ESP, US LATIN, MEX",,"Libre, Lip-sync",20000,,,,14,2,0,0,0,,,,,,,,,,,"Juan Meza Oct 14, 2025 8:23 AM",2025-02-14,,,,2025-04-28,,2025-03-12,,2/14/2025,2/24/2025,"9 - Canceled, 8 - Completed, 9 - Declined, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Declined, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",16,16,100%,7890354,490724,2.5,41,6.2,189598736,,,3625,,,,
Elena Rose “Bendito Verano” Social Spread,Recently Completed,valentina.semprun@influur.com,maria.escobar@influur.com,Camila Parra,Steven Campos,9/29/2025,10/10/2025,5000,4020,19.6%,Warner Music Latina Inc.,6,,https://docs.google.com/spreadsheets/d/1_ULiWE0pZEgmRl9IZzJLZRYdY1S9AnqbkS2Gg1rFTmI/edit?usp=sharing,https://music.influur.com/promote/35b38441-4547-4932-b96a-c7959b4d9a1f/share?token=LB9tJscPqcY9TcIAqTpAcStBPvdFSLlu8fHIiCDvmKM,Pop,US LAT,,SocialSpread,3750,0,25,,0,0,5,0,0,,USD,,,,,,,,,"Esteban Calderon Oct 14, 2025 5:14 PM",2025-09-29,,2025-09-29,2025-09-29,2025-09-29,2025-09-29,2025-10-09,,9/29/2025,9/29/2025,"9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",5,5,100%,,3475,,1439,,189598736,79730684,44865670417,5276,,,,
Formula 1 Mexico - Meta Proposal,Recently Completed,"Juan Val, valentina.semprun@influur.com","maria.escobar@influur.com, Sol Gallelli",Justin Nho,Steven Campos,10/24/2025,11/6/2025,100000,41260,58.74%,"Meta Platforms, Inc.",68,100,https://docs.google.com/spreadsheets/d/1O7Rlt4PKsjgcE5Yr5OyGsS2MAwmWbtbxUP8xdVFzwCM/edit?gid=1982257244#gid=1982257244,https://music.influur.com/promote/88d3fc20-e74c-441b-aaf5-537b9e4c10f1/share?token=suZvtx9hvPz2pwOroR678C6BKjTsxWV7KR2i3jqlqGw,"Reggaeton, Urbano, latin pop","MEX, LATAM",,"Lip-sync, Libre, POV",100000,,,https://docs.google.com/spreadsheets/d/1JmzUzb8CHv1GMLxBCOR8G5nE-phoc837lVguqpD1eoQ/edit?gid=1982257244#gid=1982257244,0,0,0,0,0,,,,,,,,,,,"Juan Meza Nov 29, 2025 12:27 PM",2025-10-21,,,,2025-10-24,2025-10-24,,,,,"8 - Completed, 8 - Completed, 8 - Completed, 3 - In Progress, 3 - In Progress, 3 - In Progress",0,3,,31802672,1117322,3.1,89,3.5,189598736,1003108766,,,,,,
Linkin Park - Social Spread,Recently Completed,valentina.semprun@influur.com,maria.escobar@influur.com,Camila Parra,Steven Campos,10/24/2025,11/14/2025,4200,6975,-66.07%,Warner Regional Latam,8,,https://docs.google.com/spreadsheets/d/1QYp4FkIVrBJjtRPSdaw5PrzQJ_hbIU0Idp-FfqZXvhs/edit?usp=sharing,https://music.influur.com/promote/e676aee8-8b42-4506-8f28-32486b1188e3/share?token=hDoq7STCx6I9Hh21uARx_Bcw3jTs39qwiTkCZoNPnIw,Rock,"COL, ARG, MEX",,Explainers,4200,,,,10,1,7,0,0,,,,,,1,,,,,"Juan Meza Nov 29, 2025 12:28 PM",2025-10-15,,2025-10-15,2025-10-17,2025-10-24,2025-10-24,2025-11-15,,10/15/2025,10/15/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 1 - Sent, 8 - Completed, 1 - Sent, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",18,16,88.89%,127448,16880,33,249,13.2,189598736,79730684,,5446,,,,
"Zion & Lennox ""La player"" (Bandolera)",Recently Completed,Juan Val,maria.escobar@influur.com,Camila Parra,Steven Campos,11/5/2025,11/17/2025,8000,5950,25.62%,Warner Regional Latam,6,,https://docs.google.com/spreadsheets/d/1EDUFaZNcXbvWdefK6yBjC0MInU4jJGSjXxHNV8oTNJI/edit?gid=1834453721#gid=1834453721,https://music.influur.com/promote/d7c12cdf-dfa9-4b98-bf39-11c4dd961ef3/share?token=QsZvk9EoEgJUohFhx6TPg7FOcSt75yDELVMyNZ2obDk,Reggaeton,MEX,,Carrusel,6000,0,25,https://docs.google.com/spreadsheets/d/1qUQpvKidJ7KxNc495LNLL-b4DztGZ5732ftDCEAjuF4/edit?gid=208858411#gid=208858411,6,0,0,0,0,,USD,,,,,,,https://www.canva.com/design/DAG3xedyqcA/u8ZI5Q55Gx7tqu-knpkGWg/edit?utm_content=DAG3xedyqcA&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Juan Meza Nov 29, 2025 12:31 PM",2025-11-04,,2025-11-04,2025-11-04,2025-11-05,2025-11-05,2025-11-20,,11/4/2025,11/4/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",6,6,100%,15138151,1733951,0.5,5,11.5,189598736,79730684,48172226607,5532,,,,
Elena Rose “Amen Bebe” Key Talent,Recently Completed,Genesis Martinez,maria.escobar@influur.com,Camila Parra,Steven Campos,11/6/2025,11/20/2025,10000,7850,21.5%,Warner Music Latina Inc.,3,,https://docs.google.com/spreadsheets/d/1Q1yRPUcXwp1OdFPYK157e2TuWdBZKJz52VsD9Re44JY/edit?usp=sharing,https://music.influur.com/promote/d3017c95-3c7c-4b24-9b05-7fe36efde11d/share?token=j48HaltR87b13X0A_1Oot5FTLP94jXc9ckS4v48YHQ8,Pop,US Latin (Venezolanos en US),,recap,7500,0,25,,0,3,0,0,0,,USD,,,,1,,,,,"Juan Meza Nov 29, 2025 12:33 PM",2025-10-28,,2025-10-28,2025-11-05,2025-11-05,,2025-11-20,,10/28/2025,10/28/2025,"9 - Declined, 8 - Completed, 8 - Completed, 8 - Completed",3,3,100%,4770316,256596,2.1,39,5.4,189598736,79730684,47416031639,5505,,,,
María Becerra - Content Miami 🏝️,Recently Completed,valentina.semprun@influur.com,maria.escobar@influur.com,Camila Parra,Steven Campos,10/23/2025,10/30/2025,5600,4200,25%,Warner Music Latina Inc.,3,,https://docs.google.com/spreadsheets/d/1z7ip3EVQCvxhvA-YTOM5AdHQ37YLoUUeQpQFzmilSfw/edit?usp=sharing,https://music.influur.com/promote/af4c5cab-5f22-4441-90ee-29d4a223f758/share?token=tSsdUMe6dDzwdUIaCVKWdMcg__E9Q0uCsfulb733Q18,Pop,US Latin,,presencial,4200,0,25,,3,0,0,0,0,,USD,,,,1,,,,,"Federico Endrek Nov 27, 2025 3:45 PM",2025-10-15,,2025-10-15,2025-10-17,2025-10-23,2025-10-23,2025-11-27,2025-11-27,10/17/2025,10/17/2025,"8 - Completed, 8 - Completed, 9 - Canceled, 3 - In Progress",3,2,66.67%,5055152,710994,1.1,8,14.1,189598736,79730684,46040927113,5438,,,,
Santos Bravos - LA Content,Recently Completed,"valentina.semprun@influur.com, Juan Val",,Polina Andrieieva,Steven Campos,11/19/2025,11/25/2025,10200,7650,25%,"Hybe Latin America US, Inc.",5,,https://docs.google.com/spreadsheets/d/1SMVggbb61J_uao-9tyLXY0A8ZG0cRSiNAjOkWlC_Qyg/edit?usp=sharing,https://music.influur.com/promote/e0bb9852-80df-42fc-a40e-af182f20b25d/share?token=FBKqze0FC3PCfnR5NmgPbgGv4iDjLluQ7L0DCE5nPL8,Kpop,based in LA ( latinos),,Dance,7650,10000,25,https://docs.google.com/spreadsheets/d/1ZL63aISTj1hl1xvCaAeVjPG_zMXgvJkiIjY_LOfNy7o/edit?gid=1591494208#gid=1591494208,5,0,0,0,0,,USD,,,,,,,,,"Juan Meza Dec 13, 2025 5:52 PM",2025-11-17,,2025-11-17,2025-11-18,2025-11-19,2025-11-19,2025-12-01,,11/18/2025,11/18/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",5,5,100%,1314599,203533,7.8,50,15.5,189598736,414817948,49260538455,5665,,,https://www.tiktok.com/t/ZP8DT4nUh/,
Lisandro Mesa ¨El Hijo De Tuta¨,Recently Completed,Juan Val,Paola Benítez,Polina Andrieieva,Steven Campos,12/9/2025,12/25/2025,1739,2100,-20.76%,XYZ,5,,https://docs.google.com/spreadsheets/d/1s_79CK29cH56o3WGrVVFP4i76uFTpyHvcQnVh3yrSHI/edit?gid=1503552818#gid=1503552818,https://dashboard.influur.com/client/lisandro-mesa-%C2%A8el-hijo-de-tuta%C2%A8-29667-147,Cumbia,COLOMBIA,,Lip-sync,1408.59,0,19,https://docs.google.com/spreadsheets/d/1e0FggALD6XwtB-PQzxzRneB8yAO09F5XlIqD2SJ1TTQ/edit?gid=1603702615#gid=1603702615,7,0,0,0,0,,USD,,,,1,Creativity Pivot,,,,"Juan Meza Jan 20, 2026 11:19 AM",2025-12-05,,2025-12-05,2025-12-05,2025-12-10,2025-12-10,2026-01-09,2025-12-10,,,"8 - Completed, 3 - In Progress, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Declined, 1 - Sent, 9 - Canceled, 8 - Completed",7,5,71.43%,16300000,488000,0.1,4,3,189598736,414817948,51298228060,5794,,,https://www.tiktok.com/music/El-Hijo-de-Tuta-7027188793681659906?_d=secCgYIASAHKAESPgo84ysIXxPYDCSdEuGlNr46F0mxnjLtVKVkgBzd9WS8swmXGPVvNQP5KUSAcmpNbg%2FDoW5X%2Bgu6YtFg4bb9GgA%3D&_r=1&_svg=1&checksum=23e30e4a81342d53b2c5efaf5f03df834de8794cad1abfc9986242d2a38c5d72&sec_user_id=MS4wLjABAAAAv5bhHCJKz85QRP0ibTim4VjOF9SyChPPxtEY4wXs4dpaUbe8DRsdUuLkR5TAb72s&share_app_id=1233&share_link_id=D8F3C824-A774-4B3B-A4CA-81CD4A64D572&share_music_id=7027188793681659906&share_region=CO&sharer_language=es&social_share_type=7&source=h5_m×tamp=1764794999&tt_from=copy&u_code=4ai330k4hk21m&ug_btm=b2878%2Cb5171&user_id=97937913891471360&utm_campaign=client_share&utm_medium=ios&utm_source=copy,
